,cover_art,title,uri
0,https://i.scdn.co/image/ab67616d0000b273d69b54199b7773b97a57a196,Subtitle,49F3htNmwzPKFycPdOrDvf
1,https://i.scdn.co/image/ab67616d0000b2736da83ea7813b3b8d1bd22a87,怪獣の花唄,10zz9RZt9DnqcxNWksRNrx
2,https://i.scdn.co/image/ab67616d0000b273303d8545fce8302841c39859,KICK BACK,3khEEPRyBeOUabbmOPJzAG
3,https://i.scdn.co/image/ab67616d0000b273d70036292d54f29e8b68ec01,OMG,65FftemJ1DbbZ45DUfHJXE
4,https://i.scdn.co/image/ab67616d0000b273edf5b257be1d6593e81bb45f,Ditto,3r8RuvgbX9s7ammBn07D3W
5,https://i.scdn.co/image/ab67616d0000b273e552c9dbdf76676de1032ae0,ダンスホール,4NaaF28BeO9WzjDrSS71Nz
6,https://i.scdn.co/image/ab67616d0000b273b5900aef5989a39a87bda771,W / X / Y,4IfrM44LofE9bSs6TDZS49
7,https://i.scdn.co/image/ab67616d0000b273a8f69ba9f78e59382eec9af9,第ゼロ感,6zjk7Qbwb9DZ4ykUUoqknh
8,https://i.scdn.co/image/ab67616d0000b27381b5fbf6470347967b819fe3,シンデレラボーイ,1Vqs0lXeJafYZz2sxnfB3V
9,https://i.scdn.co/image/ab67616d0000b273b84e5ef0604176e68584dc79,君のまま,78NUnAsLzE6azxvuPDy9M7
10,https://i.scdn.co/image/ab67616d0000b273d29582617459e5bb81bd90a6,Overdose,2Dzzhb1oV5ckgOjWZLraIB
11,https://i.scdn.co/image/ab67616d0000b273928f9e109e056c5f4d00036b,星月夜,3kjByZ9bCHIxJR3nYofZEm
12,https://i.scdn.co/image/ab67616d0000b273d0bd51668da5629aa0cc77d8,ベテルギウス,4JK1kDUdH9RTBQrrSO1QfR
13,https://i.scdn.co/image/ab67616d0000b273fd363d834b815375814ae78e,水平線,3RvdkNMcSy71m0aT6UF9Uf
14,https://i.scdn.co/image/ab67616d0000b273096bd9cb2f36c6e918ecc122,Soranji,6O4twzzHHIM6mmTqPpJNYE
15,https://i.scdn.co/image/ab67616d0000b273fd363d834b815375814ae78e,アイラブユー,34ayWAUrQcrjlKZOJAzqke
16,https://i.scdn.co/image/ab67616d0000b273cec8cc1143813c9c241edbe2,リンジュー・ラヴ,0NUJhYxwcAAB4UQULseQyX
17,https://i.scdn.co/image/ab67616d0000b273c37dcac99df04be050879c60,新時代,28MATCYDctW5EiBa2repxb
18,https://i.scdn.co/image/ab67616d0000b273c51fc46c18220ed859dab6ed,ホワイトノイズ,2wgYCc1xORV5CI8psWTroo
19,https://i.scdn.co/image/ab67616d0000b2733bd4368fd67b77f029f4d2a4,なんでもないよ、,5W7Y92LB4jWvu9NeEQ0GZl
20,https://i.scdn.co/image/ab67616d0000b273244cc50310d5e69aab21c327,ビリミリオン,7KExqPOvjFzAI4d49mQxt9
21,https://i.scdn.co/image/ab67616d0000b273e44b0d64179ddb05a5323af6,アルジャーノン,0L1E2JmrZk6QU9261PtJWQ
22,https://i.scdn.co/image/ab67616d0000b273ce1a46144fd6a2c5e2cc5872,恋人じゃなくなった日,7fQYRdNX6y8BpfmHvWVPm8
23,https://i.scdn.co/image/ab67616d0000b2737b5dacdec4e8cc4ce9b93665,愛とか恋とか,1VHL1PIkhDwWbFc65xHwOr
24,https://i.scdn.co/image/ab67616d0000b273d0bd51668da5629aa0cc77d8,ドライフラワー,4kPlQKwtPrnqLgrmmKFSlA
25,https://i.scdn.co/image/ab67616d0000b27343d214ac51fbf9b72c08f3e6,トウキョウ・シャンディ・ランデヴ,2MmgGuQzr0kkiA04lMdPXW
26,https://i.scdn.co/image/ab67616d0000b273a991995542d50a691b9ae5be,ANTIFRAGILE,4fsQ0K37TOXa3hEQfjEic1
27,https://i.scdn.co/image/ab67616d0000b273c37dcac99df04be050879c60,私は最強,5YQNjKZofFhlBCIzTVY6rW
28,https://i.scdn.co/image/ab67616d0000b27366f270985ac7ef0bbac815a5,本当はね、,5MqZFxSAGTKqnUbBVLlkM5
29,https://i.scdn.co/image/ab67616d0000b273e4432f106a0ca7a2088fbb3d,ミックスナッツ,60ReNXcPcsVFd7nUuQw5HZ
30,https://i.scdn.co/image/ab67616d0000b273ac1a5a83790ba13920affe1e,おもかげ (produced by Vaundy),6ts1KCOudfDYXYfyWtq0k1
31,https://i.scdn.co/image/ab67616d0000b2734ac2e3b0c4363dbf90cb8b79,恋だろ,2j7GjqDtsKbEhVq0Gw6a5Z
32,https://i.scdn.co/image/ab67616d0000b273c5993ff2f059a0a5a7f6270b,祝福,7ajpbW6tBpqUI9foCtwlLw
33,https://i.scdn.co/image/ab67616d0000b2733e94f2b2c3303120be19210b,Habit,2uMNMcjjUz8oNIxjIu20qE
34,https://i.scdn.co/image/ab67616d0000b273b68755a98268d7aa297549d5,点描の唄,1sIIlVrnPhrvmTrHtzM7tV
35,https://i.scdn.co/image/ab67616d0000b273f104652644e87bb6c56f88aa,MOONLIGHT SUNRISE,38DlSDrx9tgc5Gfq6y3aBa
36,https://i.scdn.co/image/ab67616d0000b27354c64f54b5bfda80c5ff7e0d,まぶた,6YCwX5jlAEFL775YJqgLqN
37,https://i.scdn.co/image/ab67616d0000b273981e918d799daf9eb7e72ac1,115万キロのフィルム,278JqkBGkjDovOYAwE8TW7
38,https://i.scdn.co/image/ab67616d0000b27393f551abf615209c537fb4d4,きらり,51oc6MEsXTpnPn6GOw5VuP
39,https://i.scdn.co/image/ab67616d0000b273c753d46683786eed63d41a90,Mela!,6IO5nn84TKArsi3cjpIqaD
40,https://i.scdn.co/image/ab67616d0000b27352340e9f15752954a34b7dff,もう一度,1RChlirFdgtS1ZPH45dJX0
41,https://i.scdn.co/image/ab67616d0000b27310179936604a42f16280835e,残響散歌,7v8wKvNQQIxkugCFFjrkaO
42,https://i.scdn.co/image/ab67616d0000b273de9614ca7864f6f41a40439f,スパークル,3MR8qQiK1Bydhw9WjAzwzU
43,https://i.scdn.co/image/ab67616d0000b273684d81c9356531f2a456b1c1,群青,1zd35Y44Blc1CwwVbW3Qnk
44,https://i.scdn.co/image/ab67616d0000b27353f126eb16bb3ab5720b0ba7,SHOOTING STAR,3IelG5zYpWWCZIH4cqWlPV
45,https://i.scdn.co/image/ab67616d0000b2737f482956521db2b389203930,TURN IT UP - feat. Candee & ZOT on the WAVE,3BjCtb7zq4Nn1riQhneMwo
46,https://i.scdn.co/image/ab67616d0000b273fd363d834b815375814ae78e,ベルベットの詩,7ELIV5p6Irk5MHsazeAFv6
47,https://i.scdn.co/image/ab67616d0000b2736e73d28366be9eef6ddb8526,カメレオン,0J0P8iSE6l3pYHbUdNFYdS
48,https://i.scdn.co/image/ab67616d0000b273b42714a53a2a0d174bda655a,Boom Boom Back,37xJCjdzJ17S1jCDz3GwsB
49,https://i.scdn.co/image/ab67616d0000b27322805a1b17e41ae357bd98bc,死ぬのがいいわ,0o9zmvc5f3EFApU52PPIyW
50,https://i.scdn.co/image/ab67616d0000b2739d28fd01859073a3ae6ea209,Hype Boy,0a4MMyCrzT0En247IhqZbD
51,https://i.scdn.co/image/ab67616d0000b273251cc864dd23a485249269ad,名前は片想い,0o3zVVGJkb1QIOMF9xySiu
52,https://i.scdn.co/image/ab67616d0000b27310e4d66d067248fc0e6fa4ad,アドベンチャー,1w2tdCsX2yKFjbh3wHII94
53,https://i.scdn.co/image/ab67616d0000b2739801b6931cc8cfe8a2f2ede3,酔いどれ知らず,4oPCfEDVIKnPJ6UPkhJPCa
54,https://i.scdn.co/image/ab67616d0000b2734fa36b14a276fe560940baa0,First Love,39HrUxcvKF3jtLz7fUDWXc
55,https://i.scdn.co/image/ab67616d0000b273d365ab3143d84ec6e1becde7,Melody,621pzEeNauLzgQrmVvCMEA
56,https://i.scdn.co/image/ab67616d0000b273d0bd51668da5629aa0cc77d8,シャッター,19mjCzLuMHZ0Tyn3eI85bo
57,https://i.scdn.co/image/ab67616d0000b2731d78b608c7b4ebbc97be34d6,Paradise,4j3ZYby4xNDuqfHb3Crm4k
58,https://i.scdn.co/image/ab67616d0000b273688818278aec60bccc3cefdc,スターマイン,0akvgdebTkERlRqNKJZuFy
59,https://i.scdn.co/image/ab67616d0000b2736da83ea7813b3b8d1bd22a87,不可幸力,57MvUwzIzRJ0r21rnNU1s1
60,https://i.scdn.co/image/ab67616d0000b27381f55cd879e9480e3ed313df,青と夏,5BC6kr6etk2Y9J62AyI4i3
61,https://i.scdn.co/image/ab67616d0000b273ce51ffc5c742ed217779cb9d,HAPPY BIRTHDAY,4FMz2RFrbDGzJO7K4D0vS3
62,https://i.scdn.co/image/ab67616d0000b273821db8ce6379c713a5a3a4b5,LONGINESS REMIX,4WV6zSmQVMmgSAaY9M5bVE
63,https://i.scdn.co/image/ab67616d0000b27333c05e1d08fec494a30bd240,君はロックを聴かない,59eluCMn0XbOWqeWQ91FTM
64,https://i.scdn.co/image/ab67616d0000b27370101f436cad812b9606e52b,CASE 143,1klq7dgG1Pz0ijci5Pmae1
65,https://i.scdn.co/image/ab67616d0000b273a212bd2ad10f117458ce3b76,花占い,2PlbwoIVr25oita35jg9ht
66,https://i.scdn.co/image/ab67616d0000b2737535e19e3d6c39514160db60,踊り子,4xk70Qur2QeRmWIzWPC63V
67,https://i.scdn.co/image/ab67616d0000b2739d28fd01859073a3ae6ea209,Attention,2pIUpMhHL6L9Z5lnKxJJr9
68,https://i.scdn.co/image/ab67616d0000b2734951a4f5f9d719dfa4ef3d75,花束,3QIAwtEEDOrv0g5NKCGrXZ
69,https://i.scdn.co/image/ab67616d0000b273ce51ffc5c742ed217779cb9d,オールドファッション,0Xn30nT5EKFPsWvpiJ2Iav
70,https://i.scdn.co/image/ab67616d0000b273c07d5d2fdc02ae252fcd07e5,Dynamite,5QDLhrAOJJdNAmCTJ8xMyW
71,https://i.scdn.co/image/ab67616d0000b2736da83ea7813b3b8d1bd22a87,napori,7LPL74iMxXZ4hEjCwmLMae
72,https://i.scdn.co/image/ab67616d0000b2738de12a274f6e1df6634f57ec,Die For You - Remix,7oDd86yk8itslrA9HRP2ki
73,https://i.scdn.co/image/ab67616d0000b27387f53da5fb4ab1171766b2d5,After LIKE,2gYj9lubBorOPIVWsTXugG
74,https://i.scdn.co/image/ab67616d0000b273beaf8bfe202f5efc54e837c6,恋風邪にのせて,5PeXak0Ox3JmH2oor0qnGt
75,https://i.scdn.co/image/ab67616d0000b2739c4ba827e585fabd3cfd90f2,Pretender,15HNdxGKNCIO9pgaY4n7FU
76,https://i.scdn.co/image/ab67616d0000b273c37dcac99df04be050879c60,逆光,78MS9OT9Flm2V78fhTw4rk
77,https://i.scdn.co/image/ab67616d0000b273d0bd51668da5629aa0cc77d8,レオ,3eg3igrhEhzk8bqqRz6XCt
78,https://i.scdn.co/image/ab67616d0000b2731ce13e03759fd585b8115476,I LOVE...,5wWLNNwMAehpj83FU4Lz0m
